operator_id,inbound_attempts,inbound_records,total_inbound_wait_seconds,active_inbound_days,missed_inbound_calls,missed_inbound_rate,avg_inbound_wait_per_call_seconds,share_total_missed_calls,active_inbound_weeks,above_10pct_project_reference,exploratory_30plus_calls_view,operator_rank_by_missed_calls,cumulative_missed_calls,cumulative_missed_share
932460,25,15,418,14,1,0.04,16.72,0.0010799136069114472,7,False,False,200,887,0.9578833693304536
898414,24,3,258,2,1,0.041666666666666664,10.75,0.0010799136069114472,1,False,False,201,888,0.958963282937365
927910,23,9,59,8,1,0.043478260869565216,2.5652173913043477,0.0010799136069114472,2,False,False,202,889,0.9600431965442765
958434,23,11,892,11,1,0.043478260869565216,38.78260869565217,0.0010799136069114472,3,False,False,203,890,0.9611231101511879
948288,22,10,296,9,1,0.045454545454545456,13.454545454545455,0.0010799136069114472,2,False,False,204,891,0.9622030237580994
919218,21,10,283,8,1,0.047619047619047616,13.476190476190476,0.0010799136069114472,4,False,False,205,892,0.9632829373650108
924930,21,13,460,11,1,0.047619047619047616,21.904761904761905,0.0010799136069114472,6,False,False,206,893,0.9643628509719222
888868,20,13,403,12,1,0.05,20.15,0.0010799136069114472,6,False,False,207,894,0.9654427645788337
924954,19,13,604,12,1,0.05263157894736842,31.789473684210527,0.0010799136069114472,5,False,False,208,895,0.9665226781857451
937874,19,6,172,5,1,0.05263157894736842,9.052631578947368,0.0010799136069114472,2,False,False,209,896,0.9676025917926566
939478,19,12,537,11,1,0.05263157894736842,28.263157894736842,0.0010799136069114472,5,False,False,210,897,0.968682505399568
894120,18,9,428,9,1,0.05555555555555555,23.77777777777778,0.0010799136069114472,4,False,False,211,898,0.9697624190064795
948758,18,8,459,7,1,0.05555555555555555,25.5,0.0010799136069114472,4,False,False,212,899,0.9708423326133909
900492,17,15,255,15,1,0.058823529411764705,15.0,0.0010799136069114472,9,False,False,213,900,0.9719222462203023
927912,17,8,46,7,1,0.058823529411764705,2.7058823529411766,0.0010799136069114472,2,False,False,214,901,0.9730021598272138
924948,15,12,272,12,1,0.06666666666666667,18.133333333333333,0.0010799136069114472,5,False,False,215,902,0.9740820734341252
896538,14,11,665,11,1,0.07142857142857142,47.5,0.0010799136069114472,7,False,False,216,903,0.9751619870410367
933986,14,8,184,7,1,0.07142857142857142,13.142857142857142,0.0010799136069114472,4,False,False,217,904,0.9762419006479481
958416,13,9,238,8,1,0.07692307692307693,18.307692307692307,0.0010799136069114472,3,False,False,218,905,0.9773218142548596
895776,12,10,175,10,1,0.08333333333333333,14.583333333333334,0.0010799136069114472,7,False,False,219,906,0.978401727861771
894224,11,9,115,6,1,0.09090909090909091,10.454545454545455,0.0010799136069114472,4,False,False,220,907,0.9794816414686826
926490,11,9,246,8,1,0.09090909090909091,22.363636363636363,0.0010799136069114472,4,False,False,221,908,0.980561555075594
934076,11,7,311,6,1,0.09090909090909091,28.272727272727273,0.0010799136069114472,4,False,False,222,909,0.9816414686825053
939708,10,7,124,6,1,0.1,12.4,0.0010799136069114472,4,False,False,223,910,0.9827213822894169
958640,10,10,105,10,1,0.1,10.5,0.0010799136069114472,3,False,False,224,911,0.9838012958963283
